характеристики Индукции,файл - 2new_sensoren_data_Датчики_перемещений_и_расстояния_processed (1)    Индуктивный датчик,файл - 2new_sensoren_data_Датчики_перемещений_и_расстояния_processed (1)    Датчик скорости вращения,файл - 2new_sensoren_data_Датчики_перемещений_и_расстояния_processed (1)   Ультразвуковой датчик,"файл -megak_ru-2-xlsx  Датчики_положения_m08 (m12, m18)_барьерные_(оптические)_processed","файл - megak_ru-2-xlsx Датчики_положения_корпус_32-48, sn04",файл - megak_ru-2-xlsx Датчики_положения_с_резьбой_3_4_(емкостные)_processed,файл - megak_ru-2-xlsx Датчики_пропорциональные_с_резьбой_m18_(индуктивные)_processed,файл - megak_ru-2-xlsx Датчики_частоты_с_резьбой_m18_processed,файл - new_sensoren_data_Датчики уровня_processed (1),файл - beskonta_data_processed,new_sensoren_data_100_Бесконтактные_датчики_положения_объекта_processed,new_sensoren_data_200_Бесконтактные_датчики_положения_объекта_processed,"new_sensoren_data_300_Бесконтактные
_датчики_положения_объекта_processed
","new_sensoren_data_400_Бесконтактные
_датчики_положения_объекта_processed
","new_sensoren_data_500_Бесконтактные
_датчики_положения_объекта_processed
","new_sensoren_data_600_Бесконтактные_
датчики_положения_объекта_processed
","new_sensoren_data_700_Бесконтактные
_датчики_положения_объекта_processed
","new_sensoren_data_781_Бесконтактные
_датчики_положения_объекта_processed
"
"Типоразмер корпуса, мм","Размер прямоугольного корпуса, мм:   ",Размер резьбы корпуса:,"Размер прямоугольного корпуса, мм:",Длина,Размеры упаковки,Размеры упаковки,Размеры упаковки,Размеры упаковки,Размер резьбы корпуса:,Типоразмер,"Размер прямоугольного корпуса, мм:",Размер резьбы корпуса:,"
Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:


","Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:


","Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:


","Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:


","Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:

","Размер прямоугольного корпуса, мм:
Размер цилиндрического корпуса, мм:
Размер резьбы корпуса:

"
"Максимальная частота переключения, Гц","Частота переключения, Гц:","Диапазон измерения частоты, Гц:","Частота переключения, Гц:",Частота переключения максимальная (f),Частота переключения максимальная (f),Частота переключения максимальная (f),Частота переключения максимальная (f),Частота переключения максимальная (f),"Частота переключения, Гц:",Максимальная частота переключения,"Частота переключения, Гц:","Частота переключения, Гц:","Размер прямоугольного корпуса, мм:","Частота переключения, Гц:","Частота переключения, Гц:","Частота переключения, Гц:","Частота переключения, Гц:","Частота переключения, Гц:"
Наличие заземления,,,,,,,,,,,,,"Размер цилиндрического корпуса, мм:",,,,,
Наличие регулировки Sn,Настраиваемое расстояние срабатывания:,,,,,Регулировка чувствительности (Reg),,,,,,,Регулировка чувствительности:,Регулировка чувствительности:,Регулировка чувствительности:,Регулировка чувствительности:,Регулировка чувствительности:,Регулировка чувствительности:
Материал гайки,,,,,,,,,,,,,,,,,,
"_Рабочая температура окружающей среды макс., °С  (2-х проводные на постоянное напряжение 15-30В)",,,,,,,,,,,,,,,,,,
"Номинальное расстояние переключения, Sn, мм","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Диапазон срабатывания, мм:",Расстояние срабатывания номинальное (Sn),Расстояние срабатывания номинальное (Sn),Расстояние срабатывания номинальное (Sn),Расстояние срабатывания номинальное (Sn),Расстояние срабатывания номинальное (Sn),"Расстояние срабатывания, мм:",Номинальное расстояние срабатывания [Sn],"Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:","Расстояние срабатывания, мм:"
"Падение напряжения на датчике, В, не более",,,,Падение напряжения максимальное,Падение напряжения максимальное,,,,,,,,,,,,,
"Ток потребления, мА, не более","Потребление тока, мА:",,,,,Ток потребления вкл./выкл.,,,,"Ток потребления, не более","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:","Потребление тока, мА:"
Тип кабеля,Материал кабеля:,Материал кабеля:,,,,,,,,,,,,,,,,
