name;price;info;link;Код товара;Давление;Диапазон измерения;Артикул;Срок поставки;Материалы корпуса в контакте с изм. средой
Датчики давления Balluff BSP Standard с аналоговым выходом;Уточнить цену;"Код товара; Balluff BSP Standard; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_analogovym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_standard_s_analogovym_vykhodom/;Balluff BSP Standard;относительное;-1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар;;;
Датчики давления Balluff BSP Standard с релейным выходом;Уточнить цену;"Код товара; Balluff BSP Standard; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_releynym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_standard_s_releynym_vykhodom/;Balluff BSP Standard;относительное;-1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар;;;
Датчики давления BALLUFF BSP High-End с релейным выходом;Уточнить цену;"Код товара; BALLUFF BSP High-End с релейным выходом; Давление; относительное; Диапазон измерения; -1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар";https://balluff-rus.ru/catalog/datchiki_davleniya_s_releynym_vykhodom_obshchepromyshlennye/datchiki_davleniya_balluff_bsp_high_end_s_releynym_vykhodom/;BALLUFF BSP High-End с релейным выходом;относительное;-1.. 2 бар, 1.. 10 бар, 0.. 2 бар, 0.. 5 бар, 0.. 10 бар, 0.. 20 бар, 0.. 50 бар, 0.. 100 бар, 0.. 250 бар, 0.. 400 бар или 0.. 600 бар;;;
Датчик давления Balluff BSP B400-EV003-D00S1B-S4;Уточнить цену;"Артикул; BSP B400-EV003-D00S1B-S4; Код товара; BSP00CT; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b400_ev003_d00s1b_s4/;BSP00CT;;;BSP B400-EV003-D00S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B400-EV003-D01S1B-S4;Уточнить цену;"Артикул; BSP B400-EV003-D01S1B-S4; Код товара; BSP00E6; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b400_ev003_d01s1b_s4/;BSP00E6;;;BSP B400-EV003-D01S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B600-EV002-A01S1B-S4;Уточнить цену;"Артикул; BSP B600-EV002-A01S1B-S4; Код товара; BSP00CE; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev002_a01s1b_s4/;BSP00CE;;;BSP B600-EV002-A01S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B600-EV002-D00S1B-S4;Уточнить цену;"Артикул; BSP B600-EV002-D00S1B-S4; Код товара; BSP008K; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev002_d00s1b_s4/;BSP008K;;;BSP B600-EV002-D00S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B600-EV003-A01S1B-S4;Уточнить цену;"Артикул; BSP B600-EV003-A01S1B-S4; Код товара; BSP00EM; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_a01s1b_s4/;BSP00EM;;;BSP B600-EV003-A01S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B600-EV003-A02S1B-S4;Уточнить цену;"Артикул; BSP B600-EV003-A02S1B-S4; Код товара; BSP00AL; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_a02s1b_s4/;BSP00AL;;;BSP B600-EV003-A02S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP B600-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP B600-EV003-D01A0B-S4; Код товара; BSP0044; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_b600_ev003_d01a0b_s4/;BSP0044;;;BSP B600-EV003-D01A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V002-EV002-A03A0B-S4;Уточнить цену;"Артикул; BSP V002-EV002-A03A0B-S4; Код товара; BSP004U; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev002_a03a0b_s4/;BSP004U;;;BSP V002-EV002-A03A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V002-EV002-A03S1B-S4;Уточнить цену;"Артикул; BSP V002-EV002-A03S1B-S4; Код товара; BSP009E; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev002_a03s1b_s4/;BSP009E;;;BSP V002-EV002-A03S1B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V002-EV003-A03A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-A03A0B-S4; Код товара; BSP0058; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_a03a0b_s4/;BSP0058;;;BSP V002-EV003-A03A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V002-EV003-D00A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-D00A0B-S4; Код товара; BSP004Y; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_d00a0b_s4/;BSP004Y;;;BSP V002-EV003-D00A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V002-EV003-D01A0B-S4;Уточнить цену;"Артикул; BSP V002-EV003-D01A0B-S4; Код товара; BSP0054; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v002_ev003_d01a0b_s4/;BSP0054;;;BSP V002-EV003-D01A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V010-EV002-A00A0B-S4;Уточнить цену;"Артикул; BSP V010-EV002-A00A0B-S4; Код товара; BSP004K; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_a00a0b_s4/;BSP004K;;;BSP V010-EV002-A00A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V010-EV002-A03A0B-S4;Уточнить цену;"Артикул; BSP V010-EV002-A03A0B-S4; Код товара; BSP004W; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_a03a0b_s4/;BSP004W;;;BSP V010-EV002-A03A0B-S4;4-6 недель;Высококачественная сталь
Датчик давления Balluff BSP V010-EV002-D01S1B-S4;Уточнить цену;"Артикул; BSP V010-EV002-D01S1B-S4; Код товара; BSP009W; Срок поставки; 4-6 недель; Материалы корпуса в контакте с изм. средой; Высококачественная сталь";https://balluff-rus.ru/catalog/datchiki_davleniya/datchik_davleniya_balluff_bsp_v010_ev002_d01s1b_s4/;BSP009W;;;BSP V010-EV002-D01S1B-S4;4-6 недель;Высококачественная сталь
