name;price;info;link;Артикул;Код товара;Срок поставки;Измерительный элемент;Монтажная длина EL, мм;Аналоговый выход по току, мА;Материалы корпуса в контакте с изм. средой
Датчик температуры Balluff BFT 6025-DX001-R02A0A-S4;Уточнить цену;"Артикул; BFT 6025-DX001-R02A0A-S4; Код товара; BFT0001; Срок поставки; 4-6 недель; Измерительный элемент; Pt 1000";https://balluff-rus.ru/catalog/datchiki_temperatury_pt100_pt1000_termosoprotivleniya/datchik_temperatury_balluff_bft_6025_dx001_r02a0a_s4/;BFT 6025-DX001-R02A0A-S4;BFT0001;4-6 недель;Pt 1000;;;
Датчик температуры Balluff BFT 6025-FC001-R02A0A-S4;Уточнить цену;"Артикул; BFT 6025-FC001-R02A0A-S4; Код товара; BFT0003; Срок поставки; 4-6 недель; Измерительный элемент; Pt 1000";https://balluff-rus.ru/catalog/datchiki_temperatury_pt100_pt1000_termosoprotivleniya/datchik_temperatury_balluff_bft_6025_fc001_r02a0a_s4/;BFT 6025-FC001-R02A0A-S4;BFT0003;4-6 недель;Pt 1000;;;
Датчик температуры Balluff BFT 6050-DX001-R02A0A-S4;Уточнить цену;"Артикул; BFT 6050-DX001-R02A0A-S4; Код товара; BFT0002; Срок поставки; 4-6 недель; Измерительный элемент; Pt 1000";https://balluff-rus.ru/catalog/datchiki_temperatury_pt100_pt1000_termosoprotivleniya/datchik_temperatury_balluff_bft_6050_dx001_r02a0a_s4/;BFT 6050-DX001-R02A0A-S4;BFT0002;4-6 недель;Pt 1000;;;
Датчик температуры Balluff BFT 6050-FC001-R02A0A-S4;Уточнить цену;"Артикул; BFT 6050-FC001-R02A0A-S4; Код товара; BFT0004; Срок поставки; 4-6 недель; Измерительный элемент; Pt 1000";https://balluff-rus.ru/catalog/datchiki_temperatury_pt100_pt1000_termosoprotivleniya/datchik_temperatury_balluff_bft_6050_fc001_r02a0a_s4/;BFT 6050-FC001-R02A0A-S4;BFT0004;4-6 недель;Pt 1000;;;
Датчик температуры Balluff BFT 6100-HV003-D00A0C-S4;Уточнить цену;"Артикул; BFT 6100-HV003-D00A0C-S4; Код товара; BFT001K; Срок поставки; 4-6 недель; Монтажная длина EL, мм; 100";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6100_hv003_d00a0c_s4/;BFT 6100-HV003-D00A0C-S4;BFT001K;4-6 недель;;100;;
Датчик температуры Balluff BFT 6025-HV003-A02A0C-S4;Уточнить цену;"Артикул; BFT 6025-HV003-A02A0C-S4; Код товара; BFT0012; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6025_hv003_a02a0c_s4/;BFT 6025-HV003-A02A0C-S4;BFT0012;4-6 недель;;;4...20;
Датчик температуры Balluff BFT 6050-HV003-D00A0C-S4;Уточнить цену;"Артикул; BFT 6050-HV003-D00A0C-S4; Код товара; BFT001J; Срок поставки; 4-6 недель; Монтажная длина EL, мм; 50";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6050_hv003_d00a0c_s4/;BFT 6050-HV003-D00A0C-S4;BFT001J;4-6 недель;;50;;
Датчик температуры Balluff BFT 6050-HV003-A02A0C-S4;Уточнить цену;"Артикул; BFT 6050-HV003-A02A0C-S4; Код товара; BFT0013; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6050_hv003_a02a0c_s4/;BFT 6050-HV003-A02A0C-S4;BFT0013;4-6 недель;;;4...20;
Датчик температуры Balluff BFT 6025-HV003-D00A0C-S4;Уточнить цену;"Артикул; BFT 6025-HV003-D00A0C-S4; Код товара; BFT001H; Срок поставки; 4-6 недель; Монтажная длина EL, мм; 25";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6025_hv003_d00a0c_s4/;BFT 6025-HV003-D00A0C-S4;BFT001H;4-6 недель;;25;;
Датчик температуры Balluff BFT 6050-DX002-A06A1A-S4;Уточнить цену;"Артикул; BFT 6050-DX002-A06A1A-S4; Код товара; BFT0006; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/datchiki_preobrazovateli_temperatury_s_vykhodom_4_20_ma/datchik_temperatury_balluff_bft_6050_dx002_a06a1a_s4/;BFT 6050-DX002-A06A1A-S4;BFT0006;4-6 недель;;;4...20;
