name;price;info;link;Артикул;Код товара;Срок поставки;Размер светового пятна, мм;Аналоговый выход по току, мА;Комплектация;Материал линз;Питание;Температура эксплуатации
Оптический датчик расстояния Balluff BOD 21M-LA01-S92;Уточнить цену;"Артикул; BOD 21M-LA01-S92; Код товара; BOD000L; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_la01_s92/;BOD 21M-LA01-S92;BOD000L;4-6 недель;1;;;;;
Оптический датчик расстояния Balluff BOD 21M-LB01-S92;Уточнить цену;"Артикул; BOD 21M-LB01-S92; Код товара; BOD000P; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_lb01_s92/;BOD 21M-LB01-S92;BOD000P;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 21M-LB02-S92;Уточнить цену;"Артикул; BOD 21M-LB02-S92; Код товара; BOD000R; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_lb02_s92/;BOD 21M-LB02-S92;BOD000R;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 24K-LB02-S92;Уточнить цену;"Артикул; BOD 24K-LB02-S92; Код товара; BOD0022; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_lb02_s92/;BOD 24K-LB02-S92;BOD0022;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 24K-LI04-S92;Уточнить цену;"Артикул; BOD 24K-LI04-S92; Код товара; BOD0023; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1x2";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_li04_s92/;BOD 24K-LI04-S92;BOD0023;4-6 недель;1x2;;;;;
Оптический датчик расстояния Balluff BOD 26K-LB06-S92-C;Уточнить цену;"Артикул; BOD 26K-LB06-S92-C; Код товара; BOD0007; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lb06_s92_c/;BOD 26K-LB06-S92-C;BOD0007;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LBR04-S115-C;Уточнить цену;"Артикул; BOD 26K-LBR04-S115-C; Код товара; BOD000C; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lbr04_s115_c/;BOD 26K-LBR04-S115-C;BOD000C;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 63M-LA02-S115;Уточнить цену;"Артикул; BOD 63M-LA02-S115; Код товара; BOD000U; Срок поставки; 4-6 недель; Размер светового пятна, мм; 9";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_la02_s115/;BOD 63M-LA02-S115;BOD000U;4-6 недель;9;;;;;
Оптический датчик расстояния Balluff BOD 63M-LB02-S115;Уточнить цену;"Артикул; BOD 63M-LB02-S115; Код товара; BOD0010; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_lb02_s115/;BOD 63M-LB02-S115;BOD0010;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 63M-LB04-S115;Уточнить цену;"Артикул; BOD 63M-LB04-S115; Код товара; BOD0011; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_lb04_s115/;BOD 63M-LB04-S115;BOD0011;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 66M-LA12-S92;Уточнить цену;"Артикул; BOD 66M-LA12-S92; Код товара; BOD001J; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_la12_s92/;BOD 66M-LA12-S92;BOD001J;4-6 недель;1;;;;;
Оптический датчик расстояния Balluff BOD 66M-LB12-S92;Уточнить цену;"Артикул; BOD 66M-LB12-S92; Код товара; BOD001K; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_lb12_s92/;BOD 66M-LB12-S92;BOD001K;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 66M-LB14-S92;Уточнить цену;"Артикул; BOD 66M-LB14-S92; Код товара; BOD001F; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_lb14_s92/;BOD 66M-LB14-S92;BOD001F;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 6K-RA03-S75;Уточнить цену;"Артикул; BOD 6K-RA03-S75; Код товара; BOD001R; Срок поставки; 4-6 недель; Размер светового пятна, мм; 9.5";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_6k_ra03_s75/;BOD 6K-RA03-S75;BOD001R;4-6 недель;09.май;;;;;
Оптический датчик расстояния Balluff BOD 21M-LB04-S92;Уточнить цену;"Артикул; BOD 21M-LB04-S92; Код товара; BOD000T; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_lb04_s92/;BOD 21M-LB04-S92;BOD000T;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 24K-LA02-S92;Уточнить цену;"Артикул; BOD 24K-LA02-S92; Код товара; BOD0021; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1x1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_la02_s92/;BOD 24K-LA02-S92;BOD0021;4-6 недель;1x1;;;;;
Оптический датчик расстояния Balluff BOD 24K-LI05-S92;Уточнить цену;"Артикул; BOD 24K-LI05-S92; Код товара; BOD0026; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1x1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_li05_s92/;BOD 24K-LI05-S92;BOD0026;4-6 недель;1x1;;;;;
Оптический датчик расстояния Balluff BOD 26K-LA02-S4-C;Уточнить цену;"Артикул; BOD 26K-LA02-S4-C; Код товара; BOD0004; Срок поставки; 4-6 недель; Размер светового пятна, мм; 0.8";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_la02_s4_c/;BOD 26K-LA02-S4-C;BOD0004;4-6 недель;0.8;;;;;
Оптический датчик расстояния Balluff BOD 26K-LB04-S115-C;Уточнить цену;"Артикул; BOD 26K-LB04-S115-C; Код товара; BOD0005; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lb04_s115_c/;BOD 26K-LB04-S115-C;BOD0005;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LB05-S115-C;Уточнить цену;"Артикул; BOD 26K-LB05-S115-C; Код товара; BOD0006; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lb05_s115_c/;BOD 26K-LB05-S115-C;BOD0006;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LB07-S92-C;Уточнить цену;"Артикул; BOD 26K-LB07-S92-C; Код товара; BOD0008; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lb07_s92_c/;BOD 26K-LB07-S92-C;BOD0008;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LBR05-S115-C;Уточнить цену;"Артикул; BOD 26K-LBR05-S115-C; Код товара; BOD000E; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_lbr05_s115_c/;BOD 26K-LBR05-S115-C;BOD000E;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 37M-LB01-S92;Уточнить цену;"Артикул; BOD 37M-LB01-S92; Код товара; BOD001W; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_37m_lb01_s92/;BOD 37M-LB01-S92;BOD001W;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 37M-LPR02-S115;Уточнить цену;"Артикул; BOD 37M-LPR02-S115; Код товара; BOD001Y; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_37m_lpr02_s115/;BOD 37M-LPR02-S115;BOD001Y;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 66M-RA11-S92;Уточнить цену;"Артикул; BOD 66M-RA11-S92; Код товара; BOD001H; Срок поставки; 4-6 недель; Размер светового пятна, мм; 15";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_ra11_s92/;BOD 66M-RA11-S92;BOD001H;4-6 недель;15;;;;;
