name;price;info;link;"Разрешение | Кол-во лучей | Высота защиты";"Количество лучей";Разрешение;"Контролируемая высота барьера";"Минимальный размер контролируемого объекта";"Способ подключения";"Ширина защитной зоны";"Ток потребления приемника";"Ток потребления излучателя";"Время срабатывания";"Температура эксплуатации фотобарьера";"Тип безопасности";Быстродействие;"Защита от солнца";"Наличие виброгасителей";"Диапазон рабочих напряжений";"Номинальное напряжение питания";"Пульсации рабочих напряжений";"Падение напряжения на приемнике";"Ток нагрузки";"Комплексная защита приемника";"Индикация включения";"Индикация питания";"Степень защиты по ГОСТ 14254-96";"Материал оптики";"Категория безопасности";Выход;"Выход СОСТОЯНИЕ СИСТЕМЫ";"Время отклика";"Контроль внешнего реле";"Количество присоединяемых фотобарьеров";"Тип электрического соединения";"Температура эксплуатации";"Пылевлагонепроницаемость по ГОСТ 14254-2015";"Максимальный ток нагрузки";"Выходная мощность номинальная";"Порог срабатывания защиты по току";"Ток нагрузки | Мощность";"Габаритные размеры";"Способ установки";"Входное напряжение питания";"Частота входного переменного напряжения питания";"Номинальное выходное напряжение";"Нестабильность напряжения на выходе при изменении напряжения питания";"Электрическая прочность изоляции: вход-выход";"Электрическая прочность изоляции вход-корпус";"Входной ток при входном напряжении питания ~ 220В";"Диапазон температур рабочей среды";"Уровень радиопомех (группа по ГОСТ Р 51527)";"Степень защиты корпуса";"Материал корпуса";"Выходной сигнал влажности";"Электрическое подключение";"Напряжение питания";"Сопротивление нагрузки";"Ток потребления";"Материал корпуса сенсора";"Конструктивное исполнение";"Шкала измерения влажности";"Максимальное отклонение в диапазоне 0...90%";"Максимальное отклонение в диапазоне 90...100%";"Номинальное отклонение";"Герметичность по ГОСТ 14254-96";"Защита от неправильного подключения";"Диапазон рабочих температур";"Время готовности после подачи питания";"Выходной сигнал";"Точность преобразования температуры";"Шкала измерения температуры";"Диапазон питания";"Тип выходного сигнала";"Защита от выбросов напряжения";"Защита от превышения тока в нагрузке";"Диапазон измерения температуры";"Показатель тепловой инерции";"Номинальное напряжение питания постоянного тока";"Длина иглы";"Тип электрического подключения";"Диаметр иглы";"Длина погружаемой части";"Резьба присоединения";"Давление рабочее, максимальное";"Выходной сигнал температуры";"Выходной сигнал CO2";"Диапазон измерения CO2";"Точность измерения от текущего значения CO2";Калибровка;"Температура эксплуатации датчика";"Тип корпуса датчика";"Тип сенсора CO2";"Допустимая влажность (без конденсата)";"Время установки показаний";"Длина стержня";"Номинальный контролируемый уровень Lmax";"Установочный размер резьбы";"Напряжение питания постоянного тока";"Диапазон изменения тока на выходе";"Скорость изменения тока нагрузки";"Контролируемая жидкость";"Погрешность преобразования в температурном диапозоне +5…95 ?С";"Независимая регулировка чувствительности - нижнего уровня [LR1]";"Независимая регулировка чувствительности - верхнего уровня [LR2]";"Способ присоединения";"Степень защиты корпуса датчика";"Степень защиты погружаемой части датчика";"Материал оболочки погружаемой части датчика";"Давление контролируемой жидкости";"Тип коммутации";"Схема подключения";"Номинальное расстояние срабатывания [Sn]";"Рабочее расстояние переключения [Sa]";"Максимальная частота переключения";"Тип коммутации | Схема подключения";Типоразмер;"Базовая длина";"Гистерезис, не более";"Ток потребления, не более";"Комплексная защита датчика";"Степень защиты по ГОСТ 14254-2015";"Диапазон питающего напряжения";"Допустимая пульсация питающего напряжения";"Падение напряжения на ключе";"Коммутируемый ток [DC]";"Коммутируемое напряжение [DC]";"Индикаторы на датчике";"Длина направляющей";Материал;"Материал направляющей";Мощность;"Режимы работы";"Падение напряжения на датчике";"Остаточный ток (ток утечки), не более";"Коммутируемый ток [AC]";"Коммутируемое напряжение, [AC]";"Таймер задержки";"Способ установки в металл";Гистерезис;"Индикация состояния ключа";"Автоматический подогрев";"Остаточный ток, не более";"Климатическое исполнение";"Задержка срабатывания";"Заводская задержка";"Напряжение питания | Схема подключения";"Коммутируемое напряжение [AC]";"Задержка отпускания";"Тип разъёма";"Вид разъёма";Подключение;"Диаметр кабеля";"Количество контактов";"Расчетный ток при 40 °C";"Расчётное напряжение";"Тип кабеля";"Номинальное расстояние [Sn]";"Пульсация питающего напряжения, макс.";"Длина кабеля";"Тип головки №1";"Тип разъёма №1";"Вид разъёма №1";"Тип головки №2";"Тип разъёма №2";"Вид разъёма №2";"Тип корпуса регулятора";"Напряжение на нагрузке (реле)";"Ток нагрузки (реле)";"Температура эксплуатации регулятора";"Электрическое подключение регулятора";"Электрическое подключение датчика";"Герметичность датчика по ГОСТ 14254-96";"Герметичность регулятора по ГОСТ 14254-96";"Кол-во подключаемых датчиков";"Максимальная длина кабеля от датчика к регулятору";"Аналоговые входы";"Входной сигнал отн. влажности / температуры";"Потребляемая мощность, не более";"Ток потребления подключенного датчика, не более";"Количество релейных выходов";"Напряжение на нагрузке (реле), не более";"60 В [DC]";"1А (cosф =0,7)";"0…+60 °C";"1 шт.";"1 %";"0,1 °C";IP20;"Количество аналоговых входов";"Диапазон уставки уровня углекислого газа СО2";"1 ppm";"-99...99 ppm";"±5 ppm";"±50 ppm";"Тип чувствительного элемента";"Диапазон обнаружения";"Точность детектирования";"Время реакции, не более";"Время обновления показаний, не более";"Время выхода на рабочий режим после подачи питания";"Встроенная сигнализация";"Порог срабатывания №1";"Порог срабатывания №2";"Порог срабатывания №3";"Уровень громкости сигнализации на расстоянии 1м";"Количество подключаемых устройств";"Коммутируемая мощность, не более";"Коммутируемый ток, не более";"Мощность потребления, не более";"Масса, не более";"Период обновления результатов, не более";"Уровень громкости сигнализации на расстоянии 1м от сигнализатора, не менее";"Выходной унифицированный сигнал";"Шкала измерения";"Точность преобразования";"Угол настройки";Покрытие;"Соответствие типоразмеру резьбы"
"BORE01 фотобарьер общепромышленный";"28 960 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;стандартная;Наличие виброгасителей;нет;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP54;Материал оптики;стекло акриловое;";https://beskonta.ru/product/bore01-opticheskiy-fotobarer/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";стандартная;нет;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP54;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BORE02 фотобарьер с защитой от солнца";"30 170 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;усиленная;Наличие виброгасителей;нет;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP54;Материал оптики;стекло акриловое;";https://beskonta.ru/product/bore02-opticheskiy-fotobarer/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";усиленная;нет;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP54;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREV01 фотобарьер с защитой от вибрации";"30 410 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;стандартная;Наличие виброгасителей;есть;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP54;Материал оптики;стекло акриловое;";https://beskonta.ru/product/borev01-opticheskiy-fotobarer/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";стандартная;есть;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP54;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREV02 фотобарьер с защитой от солнца и вибрации";"31 680 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;усиленная;Наличие виброгасителей;есть;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP54;Материал оптики;стекло акриловое;";https://beskonta.ru/product/borev02-opticheskiy-fotobarer/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";усиленная;есть;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP54;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREG01 фотобарьер водонепроницаемый общепромышленный";"43 440 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;стандартная;Наличие виброгасителей;нет;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP69K;Материал оптики;стекло акриловое;";https://beskonta.ru/product/boreg01-fotobarer-obschepromyshlennyy-vodonepronicaemyy/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";стандартная;нет;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP69K;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREG02 фотобарьер водонепроницаемый с защитой от солнца";"45 260 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;усиленная;Наличие виброгасителей;нет;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP69K;Материал оптики;стекло акриловое;";https://beskonta.ru/product/boreg02-fotobarer-s-zaschitoy-ot-solnca-vodonepronicaemyy/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";усиленная;нет;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP69K;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREGV01 фотобарьер водонепроницаемый с защитой от вибрации";"50 420 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;стандартная;Наличие виброгасителей;есть;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP69K;Материал оптики;стекло акриловое;";https://beskonta.ru/product/boregv01-fotobarer-s-zaschitoy-ot-vibracii-vodonepronicaemyy/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";стандартная;есть;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP69K;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BOREGV02 фотобарьер водонепроницаемый с защитой от солнца и вибрации";"47 510 ?";"Разрешение | Кол-во лучей | Высота защиты;20 мм | 8 лучей | 140 мм;Количество лучей;8 лучей;Разрешение;20 мм (защита пальцев рук);Контролируемая высота барьера;140 мм;Минимальный размер контролируемого объекта;25 мм;Способ подключения;разъём герм. IP68 (ответная часть входит в комплект);Ширина защитной зоны;2000 мм (с регулировкой);Ток потребления приемника;не более 1 А;Ток потребления излучателя;не более 65 мА;Время срабатывания;не более 8 мс;Температура эксплуатации фотобарьера;0...+75°С;Тип безопасности;Тип 4;Быстродействие;от 20 мс;Защита от солнца;усиленная;Наличие виброгасителей;есть;Диапазон рабочих напряжений;10…30 В [DC];Номинальное напряжение питания;24 В [DC];Пульсации рабочих напряжений;не более 10%;Падение напряжения на приемнике;не более 2.5 В;Ток нагрузки;не более 400 мА;Комплексная защита приемника;есть;Индикация включения;есть;Индикация питания;есть;Степень защиты по ГОСТ 14254-96;IP69K;Материал оптики;стекло акриловое;";https://beskonta.ru/product/boregv02-fotobarer-s-zaschitoy-ot-solnca-i-vibracii-vodonepronicaemyy/;"20 мм | 8 лучей | 140 мм";"8 лучей";"20 мм (защита пальцев рук)";"140 мм";"25 мм";"разъём герм. IP68 (ответная часть входит в комплект)";"2000 мм (с регулировкой)";"не более 1 А";"не более 65 мА";"не более 8 мс";0...+75°С;"Тип 4";"от 20 мс";усиленная;есть;"10…30 В [DC]";"24 В [DC]";"не более 10%";"не более 2.5 В";"не более 400 мА";есть;есть;есть;IP69K;"стекло акриловое";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SARE-01 реле безопасности (УБПВ)";"ЦЕНА ПО ЗАПРОСУ";"Категория безопасности;4;Номинальное напряжение питания;24 В DC;Выход;250 В AC, 2A;Выход СОСТОЯНИЕ СИСТЕМЫ;100 мА, 24 В DC;Время отклика;? 20 мс;Контроль внешнего реле;2 нормально-разомкнутых контакта (10 мА, 24 В);Количество присоединяемых фотобарьеров;1;Тип электрического соединения;Клеммы;Температура эксплуатации;0...+55 °С;Пылевлагонепроницаемость по ГОСТ 14254-2015;IP20;";https://beskonta.ru/product/sare-01-rele-bezopasnosti-ubpv/;;;;;;;;;;;;;;;;;"24 В DC";;;;;;;;;4;"250 В AC, 2A";"100 мА, 24 В DC";"? 20 мс";"2 нормально-разомкнутых контакта (10 мА, 24 В)";1;Клеммы;"0...+55 °С";IP20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Источник питания SPS-DIN-12V";"3 680 ?";"Максимальный ток нагрузки;1 A;Выходная мощность номинальная;12 Вт;Порог срабатывания защиты по току;1,2 A;Ток нагрузки | Мощность;1 A | 12 Вт;Габаритные размеры;87х72х62 мм;Способ установки;DIN-рейка;Входное напряжение питания;85...265 AC, 120...370 DC;Частота входного переменного напряжения питания;50…60 Гц;Номинальное выходное напряжение;12 В;Нестабильность напряжения на выходе при изменении напряжения питания;±0,2 %;Электрическая прочность изоляции: вход-выход;3 кВ;Электрическая прочность изоляции вход-корпус;3 кВ;Входной ток при входном напряжении питания ~ 220В;450 мА;Диапазон температур рабочей среды;-20…+50 ?С;Уровень радиопомех (группа по ГОСТ Р 51527);С;Способ подключения;клеммы;Степень защиты корпуса;IP20;Материал корпуса;пластик;";https://beskonta.ru/product/istochnik-pitaniya-sps-din-12v/;;;;;;клеммы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 A";"12 Вт";"1,2 A";"1 A | 12 Вт";"87х72х62 мм";DIN-рейка;"85...265 AC, 120...370 DC";"50…60 Гц";"12 В";"±0,2 %";"3 кВ";"3 кВ";"450 мА";"-20…+50 ?С";С;IP20;пластик;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
