name;price;art;description;info;link;"Расстояние срабатывания номинальное (Sn)";"Расстояние срабатывания рабочее (Sa)";"Расстояние срабатывания эффективное (Sr)";"Способ подключения";"Способ монтажа";"Рабочая температура";"Тип выхода";"Функция выхода";"Частота переключения максимальная (f)";"Повторяемость максимальная (R), от Sr";"Гистерезис максимальный (H), от Sr";"Длина кабеля";"Размеры упаковки";"Масса, не более";"Напряжение питания номинальное (Ue)";"Напряжение питания рабочее";"Падение напряжения максимальное";"Ток нагрузки максимальный (Ie)";"Ток потребления вкл./выкл.";"Уровень пульсаций (%Ue)";"Задержка после включения питания (tv)";"Емкость нагрузки максимальная (при Ue)";"Категория применения";"Материал чувствительной части";"Материал корпуса";"Ударная нагрузка полусинусоидальная";"Вибрационная нагрузка";"Индикатор состояния выхода (LED)";"Степень защиты по IEC 60529";"Защита от короткого замыкания";"Защита от перегрузки по току";"Защита от переполюсовки";"Защита от ЭДС самоиндукции";"Технический паспорт";"Остаточный ток"
PS2-32-15N11-K;"1 092 руб.";4673759506206;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 15 мм
Способ монтажа: не заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 200 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: PNP
Функция выхода: замыкающий, NO
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; PNP;Функция выхода; замыкающий, NO;Частота переключения максимальная (f); 200 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-15n11-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";"не заподлицо";"-25...+75 °C";PNP;"замыкающий, NO";"200 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-15N21-K;"1 092 руб.";4673759506244;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 15 мм
Способ монтажа: не заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 200 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: NPN
Функция выхода: замыкающий, NO
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; NPN;Функция выхода; замыкающий, NO;Частота переключения максимальная (f); 200 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-15n21-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";"не заподлицо";"-25...+75 °C";NPN;"замыкающий, NO";"200 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-15N31-K;"1 092 руб.";4673759506251;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 15 мм
Способ монтажа: не заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 200 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: PNP
Функция выхода: размыкающий, NC
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; PNP;Функция выхода; размыкающий, NC;Частота переключения максимальная (f); 200 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-15n31-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";"не заподлицо";"-25...+75 °C";PNP;"размыкающий, NC";"200 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-15N41-K;"1 092 руб.";4673759511651;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 15 мм
Способ монтажа: не заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 200 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: NPN
Функция выхода: размыкающий, NC
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; NPN;Функция выхода; размыкающий, NC;Частота переключения максимальная (f); 200 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-15n41-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";"не заподлицо";"-25...+75 °C";NPN;"размыкающий, NC";"200 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-8B11-K;"1 092 руб.";4673759506176;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 8 мм
Способ монтажа: заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 300 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: PNP
Функция выхода: замыкающий, NO
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 8 мм;Расстояние срабатывания рабочее (Sa); 0...6,5 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; PNP;Функция выхода; замыкающий, NO;Частота переключения максимальная (f); 300 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-8b11-k;"8 мм";"0...6,5 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";заподлицо;"-25...+75 °C";PNP;"замыкающий, NO";"300 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-8B21-K;"1 092 руб.";4673759514058;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 8 мм
Способ монтажа: заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 300 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: NPN
Функция выхода: замыкающий, NO
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 8 мм;Расстояние срабатывания рабочее (Sa); 0...6,5 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; NPN;Функция выхода; замыкающий, NO;Частота переключения максимальная (f); 300 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-8b21-k;"8 мм";"0...6,5 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";заподлицо;"-25...+75 °C";NPN;"замыкающий, NO";"300 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-8B31-K;"1 092 руб.";4673759506183;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 8 мм
Способ монтажа: заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 300 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: PNP
Функция выхода: размыкающий, NC
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 8 мм;Расстояние срабатывания рабочее (Sa); 0...6,5 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; PNP;Функция выхода; размыкающий, NC;Частота переключения максимальная (f); 300 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-8b31-k;"8 мм";"0...6,5 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";заподлицо;"-25...+75 °C";PNP;"размыкающий, NC";"300 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
PS2-32-8B41-K;"1 092 руб.";4673759514065;"Индуктивный бесконтактный датчик в прямоугольном пластиковом корпусе 50х30х15 мм.
Расстояние срабатывания: 8 мм
Способ монтажа: заподлицо
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Падение напряжения: 1,5 В
Частота переключения максимальная: 300 Гц
Ток потребления вкл./выкл.: 25 мА/8 мА
Тип выхода: NPN
Функция выхода: размыкающий, NC
Рабочая температура: -25...+75 °C
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 3,5 мм/3x0,12/ 2 м";"Расстояние срабатывания номинальное (Sn); 8 мм;Расстояние срабатывания рабочее (Sa); 0...6,5 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 3,5 мм/3x0,12/ 2 м;Способ монтажа; заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; NPN;Функция выхода; размыкающий, NC;Частота переключения максимальная (f); 300 Гц;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,05 кг;Напряжение питания номинальное (Ue); 24 В;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 1,5 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Уровень пульсаций (%Ue); 10%;Задержка после включения питания (tv); 50 мс;Емкость нагрузки максимальная (при Ue); 0,5 мкФ;Категория применения; DC13;Материал чувствительной части; полиамид;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Вибрационная нагрузка; 55 Гц, 1 мм, 3x30 мин;Индикатор состояния выхода (LED); красный;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Защита от ЭДС самоиндукции; есть;Технический паспорт;";https://mega-k.com/products/ps2-32-8b41-k;"8 мм";"0...6,5 мм";(0,9…1,1)Sn;"кабель ПВХ 3,5 мм/3x0,12/ 2 м";заподлицо;"-25...+75 °C";NPN;"размыкающий, NC";"300 Гц";5%;15%;"2 м";"100x80x20 мм";"0,05 кг";"24 В";"10...30 V DC";"1,5 В";"0,3 А";"25 мА/8 мА";10%;"50 мс";"0,5 мкФ";DC13;полиамид;полиамид;"30 gn, 11 мс";"55 Гц, 1 мм, 3x30 мин";красный;IP67;есть;есть;есть;есть;;
ВБ2.32.хх.15.1.1.К;;C656;"Заменён на PS2-32-15N11-K";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 5,5 мм/3x0,35/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; PNP;Функция выхода; замыкающий, NO;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,65 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 2 В;Ток нагрузки максимальный (Ie); 0,25 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Остаточный ток; <0,01 мА (25 °C);Категория применения; DC13;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;";https://mega-k.com/products/vb2-32-xx-15-1-1-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 5,5 мм/3x0,35/ 2 м";"не заподлицо";"-25...+75 °C";PNP;"замыкающий, NO";;5%;15%;"2 м";"100x80x20 мм";"0,65 кг";;"10...30 V DC";"2 В";"0,25 А";"25 мА/8 мА";;;;DC13;;полиамид;"30 gn, 11 мс";;;IP67;есть;есть;есть;;;"<0,01 мА (25 °C)"
ВБ2.32.хх.15.2.1.К;;C658;"Заменён на PS2-32-15N21-K";"Расстояние срабатывания номинальное (Sn); 15 мм;Расстояние срабатывания рабочее (Sa); 0...12 мм;Расстояние срабатывания эффективное (Sr); (0,9…1,1)Sn;Способ подключения; кабель ПВХ 5,5 мм/3x0,35/ 2 м;Способ монтажа; не заподлицо;Рабочая температура; -25...+75 °C;Тип выхода; NPN;Функция выхода; замыкающий, NO;Повторяемость максимальная (R), от Sr; 5%;Гистерезис максимальный (H), от Sr; 15%;Длина кабеля; 2 м;Размеры упаковки; 100x80x20 мм;Масса, не более; 0,65 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 2 В;Ток нагрузки максимальный (Ie); 0,25 А;Ток потребления вкл./выкл.; 25 мА/8 мА;Остаточный ток; <0,01 мА (25 °C);Категория применения; DC13;Материал корпуса; полиамид;Ударная нагрузка полусинусоидальная; 30 gn, 11 мс;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;";https://mega-k.com/products/vb2-32-xx-15-2-1-k;"15 мм";"0...12 мм";(0,9…1,1)Sn;"кабель ПВХ 5,5 мм/3x0,35/ 2 м";"не заподлицо";"-25...+75 °C";NPN;"замыкающий, NO";;5%;15%;"2 м";"100x80x20 мм";"0,65 кг";;"10...30 V DC";"2 В";"0,25 А";"25 мА/8 мА";;;;DC13;;полиамид;"30 gn, 11 мс";;;IP67;есть;есть;есть;;;"<0,01 мА (25 °C)"
