name;price;info;link;is_available;Исполнение;Модификация;"Тип корпуса";"Расстояние срабатывания Sn, мм";"Размер корпуса";"Конструкция корпуса";"Схема выхода";"Функция выхода";"Материал корпуса";"Степень защиты корпуса";"Обозначение резьбы";"Регулировка чувствительности";"Вид взрывозащиты";Особенности;"Защита коммутационного элемента";"Длина кабеля, м";"Габаритный размер, мм";"Ширина щели, мм";"Диапазон частот контроля, Гц";"Первоначальная задержка включения";"Аналоговый выход";"Рабочая зона, мм";"Степень защиты";"Регулировка задержки срабатывания"
"Индуктивный датчик
ВБИ-Д06-45У-1111-З";"4 068 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 6,5 мм; Конструкция корпуса: Средний корпус; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d06-45u-1111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";1,5;"? 6,5 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-Д06-45У-1112-З";"4 387 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 6,5 мм; Конструкция корпуса: Средний корпус; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d06-45u-1112-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";1,5;"? 6,5 мм";"Средний корпус";PNP;НЗ;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-Д06-45У-1121-З";"4 231 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 6,5 мм; Конструкция корпуса: Средний корпус; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d06-45u-1121-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";1,5;"? 6,5 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-Д06-48У-2111-З";"4 382 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 6,5 мм; Конструкция корпуса: Средний корпус; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d06-48u-2111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";2,5;"? 6,5 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-Д08-45У-1121-З";"4 262 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d08-45u-1121-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";1,5;"? 8 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-Д12-34У-1111-С";"4 524 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический гладкий; Расстояние срабатывания Sn, мм: 2; Размер корпуса: ? 12 мм; Конструкция корпуса: Средний корпус; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-d12-34u-1111-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический гладкий";2;"? 12 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29У-1111-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29u-1111-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29У-1112-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29u-1112-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29У-1121-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29u-1121-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29У-1122-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29u-1122-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
