name;price;info;link;is_available;"Тип корпуса";Приемник/Излучатель;"Материал корпуса";"Зона чувствительности, м";"Вид подключения";"Температура окружающей среды";"Длина кабеля, м";Особенности;"Схема выхода";"Функция выхода";"Частота переключения, Гц";Тип;"Направление оптической оси";"Зона чувствительности, мм";"Вид излучения";"Материал линз";"Тип переключения";"Обозначение резьбы";"Максимальное расстояние срабатывания, мм";"Температура объекта воздействия";"Угол поля зрения";"Материал кабеля";"Цвет излучения";"Степень защиты корпуса";"Функция защиты";"Количество лучей";"Разрешение, мм";"Высота контролируемой зоны, мм";"Время срабатывания, мс";"Защита коммутационного элемента";"Рабочее напряжение, В";"Аналоговый выход"
"Оптический датчик
ВБО-Д68-120У-9100-НТК";"15 082 ?
Цена с НДС 20%";"Тип корпуса: Термокожух; Приемник/Излучатель: Излучатель; Материал корпуса: Алюминиевый сплав; Зона чувствительности, м: 0 - 20; Вид подключения: Кабель; Температура окружающей среды: -50…+70 °С; Длина кабеля, м: 2; Особенности: Электронное управление системой подогрева внутреннего пространства";https://sensor-com.ru/sensors/vbo-d68-120u-9100-ntk/;"В наличии";Термокожух;Излучатель;"Алюминиевый сплав";"0 - 20";Кабель;"-50…+70 °С";2;"Электронное управление системой подогрева внутреннего пространства";;;;;;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-Д68-120У-9111-СТК";"16 644 ?
Цена с НДС 20%";"Тип корпуса: Термокожух; Приемник/Излучатель: Приемник; Материал корпуса: Алюминиевый сплав; Зона чувствительности, м: 0 - 20; Схема выхода: PNP; Функция выхода: НО; Вид подключения: Кабель; Температура окружающей среды: -50…+70 °С; Длина кабеля, м: 2; Частота переключения, Гц: 500; Особенности: Электронное управление системой подогрева внутреннего пространства";https://sensor-com.ru/sensors/vbo-d68-120u-9111-stk/;"В наличии";Термокожух;Приемник;"Алюминиевый сплав";"0 - 20";Кабель;"-50…+70 °С";2;"Электронное управление системой подогрева внутреннего пространства";PNP;НО;500;;;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-3113-СА";"6 770 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76v-3113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-3123-СА";"6 760 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76v-3123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-5113-СА";"6 580 ?
Цена с НДС 20%";"Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76v-5113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;;Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-5123-СА";"6 811 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76v-5123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-6113-СА";"8 111 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-6113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-6123-СА";"8 198 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-6123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-8113-СА";"8 077 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-8113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-8123-СА";"8 342 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-8123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
