name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"DATASENSING SR21-IR щелевой датчик для этикеток";"22 100 руб.";"Серия:;SR21;Размер прямоугольного корпуса, мм:;20x26x90;Наличие на складе г. Смоленск:;18;Глубина щели, мм:;50;Комплектация:;В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Тип:;щелевой датчик;Тип выходного сигнала:;PNP/NPN;Тип света:;LED инфракрасный;Функция переключения:;NO/NC;Частота переключения, Гц:;25000;Ширина щели, мм:;2";https://sensoren.ru/product/opticheskie_schelevie_datchiki_datalogic-datasensor_sr21_dlya_etiketok/;SR21;20x26x90;18;50;"В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары";Прямоугольный;Метал;"12-24 DC";Оптический;M8;Разъем;"щелевой датчик";PNP/NPN;"LED инфракрасный";NO/NC;25000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ультразвуковой датчик этикеток LANBAO LAU-TR05DFB-E3";"47 500 руб.";"Число контактов, pin:;4;Страна происхождения:;Китай;Серия:;LAU;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Размер прямоугольного корпуса, мм:;92x46x85;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;29;Вес, грамм:;105;Глубина щели, мм:;68;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Материал корпуса:;Металл, алюминий;Напряжение питания, В:;12-24 DC;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP67;Тип выходного сигнала:;PNP/NPN;Частота переключения, Гц:;1200;Ширина щели, мм:;5";https://sensoren.ru/product/ultrazvukovoy_datchik_etiketok_lanbao_lau_tr05dfb_e3/;LAU;92x46x85;29;68;;Щелевой;"Металл, алюминий";"12-24 DC";Ультразвуковой;M8;Разъем;;PNP/NPN;;;1200;5;4;Китай;70;-25;CE+EAC;105;да;есть;IP67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BS5-T2M-P";"1 500 руб.";"Серия:;BS5;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;-20;Вес, грамм:;50;Глубина щели, мм:;9;Минимальный диаметр объекта, мм:;0,8?2;Длина волны, нм:;940;Корпус:;Тип T;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Особенности:;Миниатюрные датчики со встроенным усилителем;Соединение:;Разъем;Степень защиты:;IP50;Температура эксплуатации, °C:;-20…+55;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;5";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t2m_p/;BS5;;;9;;"Тип T";Пластик;"5-30 DC";;;Разъем;"Оптический вилочный";PNP;"инфракрасный свет";"на свет/на затемнение";2000;5;;;55;-20;;50;;;IP50;0,8?2;940;"Миниатюрные датчики со встроенным усилителем";-20…+55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU30-TDPB";"5 400 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Влажность окружающей среды:;Относительная влажность 35-95 % (без конденсации);Время отклика, мс:;1;Размер прямоугольного корпуса, мм:;52x72x16;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;99;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;2;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Стабильное обнаружение, высокая производительность. Улучшенная защита от помех;Расстояние срабатывания, мм:;30;Соединение:;Кабель;Степень защиты:;IP60;Тип выходного сигнала:;PNP;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu30_tdpb/;PU;52x72x16;99;45;;;Алюминий;"12-24 DC";;;Кабель;;PNP;;"на свет/на затемнение";;30;;Китай;;;CE+EAC;;да;есть;IP60;2;;"Стабильное обнаружение, высокая производительность. Улучшенная защита от помех";;15;"Относительная влажность 35-95 % (без конденсации)";1;2;да;да;0,2;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик этикетки SICK UFN3-70B413";"72 770 руб.";"Страна происхождения:;Франция;Серия:;UF;Минимальный зазор между объектами, мм:;2;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;5;Размер прямоугольного корпуса, мм:;18x47,5x92,5;Вес, грамм:;170;Глубина щели, мм:;69;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Детектор сдвоенного листа;Подключение:;4 pin;Применение:;Распознавание прозрачных, непрозрачных и этикеток с печатью;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;+5…+55;Тип выходного сигнала:;PNP/NPN;Функция переключения:;NO/NC;Частота переключения, Гц:;1500;Ширина щели, мм:;3";https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_ufn3_70b413/;UF;18x47,5x92,5;;69;;;Алюминий;"12-24 DC";Ультразвуковой;M8;Разъем;;PNP/NPN;;NO/NC;1500;3;;Франция;55;5;;170;;;IP65;;;"Детектор сдвоенного листа";+5…+55;;;;;;;;;2;"4 pin";"Распознавание прозрачных, непрозрачных и этикеток с печатью";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический щелевой датчик этикеток Leuze Electronic GS 61/6.2,200-S12";"37 260 руб.";"Число контактов, pin:;5;Серия:;GS 61;Источник излучения:;LED Светодиод;Время отклика, мс:;0,05;Температура эксплуатации Max, °C:;60;Кодировка разъема:;A-coded;Ширина этикетки Min, мм:;2;Зазор между этикетками Min, мм:;2;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;11x30x60;Вес, грамм:;70;Глубина щели, мм:;41;Длина кабеля, м:;0,2;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Функция обучения;Особенности:;Самый тонкий оптический датчик для обнаружения этикеток;Принцип действия:;Оптический;Резьба разъема:;M12;Соединение:;Кабель с разъемом;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PUSH/PULL;Тип света:;инфракрасный свет;Частота переключения, Гц:;10000;Ширина щели, мм:;3";https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6_2_200_s12/;"GS 61";11x30x60;;41;;;Пластик;"12-24 DC";Оптический;M12;"Кабель с разъемом";;PUSH/PULL;"инфракрасный свет";;10000;3;5;;60;-20;;70;да;;IP65;;;"Самый тонкий оптический датчик для обнаружения этикеток";-20…+60;;;0,05;0,2;да;;;;;;;"LED Светодиод";A-coded;2;2;"Функция обучения";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SJ3,5-SN";"12 883 руб.";"Серия:;SJ;Класс безопасности систем управления SIL:;SIL 3;Температура эксплуатации Max, °C:;100;Температура эксплуатации Min, °C:;-50;Длина кабеля, м:;0,5;Корпус:;Щелевой;Материал кабеля:;LiY;Материал корпуса:;Пластик;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-50…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj3_5_sn/;SJ;;;;;Щелевой;Пластик;;;;Кабель;;NAMUR;;NC;3000;3,5;;;100;-50;;;;;IP67;;;;-50…+100;;;;0,5;;;;;;;;;;;;;"SIL 3";LiY;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU05M-TGNR-T";"1 300 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Минимальный размер объекта, мм:;1,2x0,8;Размер прямоугольного корпуса, мм:;17,2x13,7x26;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;61;Вес, грамм:;15;Глубина щели, мм:;8,4;Длина волны, нм:;855;Длина кабеля, м:;1;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,05;Материал корпуса:;PBT;Напряжение питания, В:;5-30 DC;Расстояние срабатывания, мм:;5;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1000;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgnr_t/;PU;17,2x13,7x26;61;8,4;;;PBT;"5-30 DC";;;Кабель;;NPN;"инфракрасный свет";"на свет/на затемнение";1000;5;;Китай;;;CE+EAC;15;да;есть;IP65;;855;;;15;;;1;да;;0,05;5;;;;;;;;;;;;1,2x0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR23-2-IR-PH";"21 739 руб.";"Серия:;SR23;Размер прямоугольного корпуса, мм:;11x25x64;Глубина щели, мм:;50;Длина кабеля, м:;2;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных;Принцип действия:;Оптический;Соединение:;Кабель;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;NC;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr23_2_ir_ph/;SR23;11x25x64;;50;;Прямоугольный;Метал;"12-24 DC";Оптический;;Кабель;;PNP;"инфракрасный свет";NC;;5;;;;;;;;;;;;"Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных";;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU05M-TGPR-Y";"1 300 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Минимальный размер объекта, мм:;1,2x0,8;Размер прямоугольного корпуса, мм:;14,6x13,4x20,6;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;34;Вес, грамм:;15;Глубина щели, мм:;8,4;Длина волны, нм:;855;Длина кабеля, м:;1;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,05;Материал корпуса:;PBT;Напряжение питания, В:;5-30 DC;Расстояние срабатывания, мм:;5;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1000;Ширина щели, мм:;5,2";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgpr_y/;PU;14,6x13,4x20,6;34;8,4;;;PBT;"5-30 DC";;;Кабель;;PNP;"инфракрасный свет";"на свет/на затемнение";1000;5,2;;Китай;;;CE+EAC;15;да;есть;IP65;;855;;;15;;;1;да;;0,05;5;;;;;;;;;;;;1,2x0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
